,Q,A,label
9545,포카혼타스 / 존 롤프,per:spouse,17
9546,정근우 / 2루수,per:title,4
9547,존 디콘 / 프레디 머큐리,per:colleagues,14
9548,김신욱 / 공격수,per:title,4
9549,로시야 항공 / 아에로플로트,no_relation,0
9550,귀네비어 / 란슬롯,no_relation,0
9551,토마시 로시츠키 / 프라하,no_relation,0
9552,프랑스 축구 연맹 / FFF,org:alternate_names,5
9553,이화여자대학교 / 메리 스크랜튼,org:founded_by,28
9554,대한민국 임시정부 / 상하이,org:place_of_headquarters,7
9555,이용섭 / 기독교,no_relation,0
9556,아슈와타마 / 판다바,no_relation,0
9557,VVV 펜로 / 에레디비시,org:member_of,20
9558,육군공병학교 / 상무대,no_relation,0
9559,민주당 / 김대중,no_relation,0
9560,김우빈 / 김현중,per:alternate_names,12
9561,김새론 / 골드메달리스트,per:employee_of,6
9562,뉴욕 메츠 / 1988,no_relation,0
9563,에어부산 / 아시아나항공,no_relation,0
9564,홍진경 / 1977년 12월 23일,per:date_of_birth,25
9565,전태일 / 1970년 11월 13일,no_relation,0
9566,도도 다카토라 / 1630년 11월 9일,per:date_of_death,24
9567,토트넘 홋스퍼 / 조세 무리뉴,org:top_members/employees,1
9568,GNU GPL / 자유 소프트웨어 재단,no_relation,0
9569,박헌영 / 남조선로동당,per:employee_of,6
9570,앤서니 이든 / 보수당,per:employee_of,6
9571,정승원 / 대구 FC,per:employee_of,6
9572,김성우 / 경기도 광주 구산마을,per:place_of_birth,26
9573,창원공 / 성평왕후,per:parents,21
9574,에레디비시 / 페예노르트,no_relation,0
9575,새누리당 / 자유한국당,org:alternate_names,5
9576,남우현 / 울림 엔터테인먼트,per:employee_of,6
9577,카페왕조 / 위그 카페,org:founded_by,28
9578,대구대학교 / 김상호,org:top_members/employees,1
9579,뉴올리언스 펠리컨스 / NBA,org:member_of,20
9580,김정일 / 조선로동당,per:employee_of,6
9581,카툰 네트워크 / 텔레비전,no_relation,0
9582,양평군 / 정동균,org:top_members/employees,1
9583,민주변화운동 창기라이 / 모건 창기라이,org:top_members/employees,1
9584,나르샤 / 브라운 아이드 걸스,per:employee_of,6
9585,황인권 / 육군 제2작전사령관,per:title,4
9586,민주평화당 / 대안신당,no_relation,0
9587,하이트진로 / 김인규,org:top_members/employees,1
9588,파벨 사무일로비치 우리손 / 모스크바 대학교,no_relation,0
9589,그레고리오 16세 / 비오 9세,no_relation,0
9590,김동연 / 홍남기,no_relation,0
9591,피오렌티나 / 2002년,org:founded,18
9592,베트멍 / 뎀나 바잘리아,org:founded_by,28
9593,군산시 / 전라북도,no_relation,0
9594,강팔문 / 새만금개발공사 사장,per:title,4
9595,남정여객 / 073,no_relation,0
9596,민주당 / 지미 카터,no_relation,0
9597,전도연 / 매니지먼트 숲,per:employee_of,6
9598,윤석헌 / 금융감독원장,per:title,4
9599,박찬대 / 국회의원,per:title,4
9600,신안군 / 박우량,org:top_members/employees,1
9601,정선옹주 / 1614년 음력 8월 1일,per:date_of_death,24
9602,기획재정부 / 홍남기,org:top_members/employees,1
9603,쿠사카 마사토 / 가면라이더 555,per:product,8
9604,고양시 / 경기도,no_relation,0
9605,조제 소크라트스 / 사회당,per:employee_of,6
9606,신소율 / 김지철,per:colleagues,14
9607,토론토 대학교 / 캐나다,org:place_of_headquarters,7
9608,마오쩌둥 / 중국공산당,per:employee_of,6
9609,체사레 보르자 / 교황 알렉산데르 6세,per:parents,21
9610,신익희 / 신재희,per:siblings,16
9611,수페르리가 엘라다 / 그리스,no_relation,0
9612,조코 위도도 / 인도네시아,per:origin,15
9613,김교각 / 성덕왕,per:parents,21
9614,빌헬미나 / 메클렌부르크슈베린의 헨드릭,per:spouse,17
9615,유키 히로시 / 소설가,per:title,4
9616,김재규 / 박정희,per:colleagues,14
9617,뉴캐슬 유나이티드 / 프리미어리그,org:member_of,20
9618,빅토리아 / 하노버 왕가,no_relation,0
9619,노진구 / 신이슬,per:spouse,17
9620,유럽 민주당 / 유럽 인민당,no_relation,0
9621,피렐리 / 이탈리아,org:place_of_headquarters,7
9622,루이 15세 / 빅투아르,per:children,10
9623,베스파시아누스 / 티투스,per:children,10
9624,백골병단 / 대한민국 육군,org:member_of,20
9625,경혜공주 / 1436년,per:date_of_birth,25
9626,히틀러 / 헤르만 괴링,per:colleagues,14
9627,알바몬 / 잡코리아,no_relation,0
9628,현대산업개발 / 아이파크,org:product,3
9629,넷플릭스 / OTT 서비스,org:product,3
9630,유홍준 / 명지대학교 석좌교수,per:title,4
9631,국제 축구 연맹 / FIFA,org:alternate_names,5
9632,고려공산당 / 1921년,no_relation,0
9633,아프리카 / Africa,org:alternate_names,5
9634,맨체스터 유나이티드 FC / 프리미어리그,org:member_of,20
9635,루이스 세베리노 / 선발투수,per:title,4
9636,야마이코 나바로 / 1987년 10월 31일,per:date_of_birth,25
9637,SK 와이번스 / 2008년,no_relation,0
9638,남양유업 / 홍원식,org:top_members/employees,1
9639,대한체육회 / KOC,org:alternate_names,5
9640,이강인 / 공격형 미드필더,per:title,4
9641,ACF 피오렌티나 / 세리에 A,org:member_of,20
9642,더본코리아 / 백종원,org:top_members/employees,1
9643,안철수 / 국민의당,no_relation,0
9644,배트맨 / 고담시,no_relation,0
9645,NC 다이노스 / 양의지,org:top_members/employees,1
9646,슈퍼셀 / 텐센트,no_relation,0
9647,전남공업고등학교 / 박주정,org:top_members/employees,1
9648,김하성 / 유격수,per:title,4
9649,프랑코포니 / 프랑스어,no_relation,0
9650,제1군 / 제2차 세계 대전,no_relation,0
9651,비와이 / 이병윤,per:alternate_names,12
9652,시드니 / 오스트레일리아,org:place_of_headquarters,7
9653,한화건설 / 포레나,org:product,3
9654,토마시 로시츠키 / 프라하,per:place_of_birth,26
9655,나르샤 / 박효진,per:alternate_names,12
9656,레이건 / 조지 H. W. 부시,per:colleagues,14
9657,헨리 3세 / 에드워드 1세,per:children,10
9658,리처드 파인만 / 물리학,per:title,4
9659,중국 공산당 / CCP,org:alternate_names,5
9660,지그문트 프로이트 / 오스트리아,per:origin,15
9661,고려이앤씨 / 비타에듀,org:members,2
9662,주교황청 중화민국 대사관 / 바티칸 시국,org:place_of_headquarters,7
9663,세이코 엡손 / 주식회사,no_relation,0
9664,자유당 / 민주국민당,no_relation,0
9665,황의조 / 감바 오사카,per:employee_of,6
9666,리처드 닉슨 / 공화당,per:employee_of,6
9667,최용신기념관 / 안산시,no_relation,0
9668,쓰지우치 다카노부 / 2005년,no_relation,0
9669,샌디에이고 파드리스 / 캘리포니아,org:place_of_headquarters,7
9670,린든 존슨 / 존 F. 케네디,no_relation,0
9671,김주열 / 마산상업고등학교,per:schools_attended,23
9672,태진미디어 / 노래반주기,org:product,3
9673,박찬민 / 아나운서,per:title,4
9674,김우빈 / 김현중,no_relation,0
9675,빌리 조엘 / 싱어송라이터,per:title,4
9676,박흥주 / 중앙정보부,no_relation,0
9677,나응식 / 수의사,per:title,4
9678,하태경 / 바른정당,per:employee_of,6
9679,ICJ / 네덜란드 헤이그,org:place_of_headquarters,7
9680,김영삼 / 학도병,per:title,4
9681,정의당 / 노동당,no_relation,0
9682,제임스 1세 / 엘리자베스,no_relation,0
9683,박근혜 / 자유한국당,no_relation,0
9684,경성부 / 경기도,no_relation,0
9685,AFC 아약스 / 암스테르담,org:place_of_headquarters,7
9686,강인원 / 대한민국,per:origin,15
9687,더불어민주당 / 문재인,org:top_members/employees,1
9688,통일 러시아당 / 모스크바,no_relation,0
9689,허승훈 / Huni,per:alternate_names,12
9690,도광제 / 가경제,per:parents,21
9691,앤드루 잭슨 영 / 민주당,per:employee_of,6
9692,수원 삼성 / K리그1,org:member_of,20
9693,사무엘 칼루 / Samuel Kalu,per:alternate_names,12
9694,닥터 G / 데스트론,per:employee_of,6
9695,영암군 / 전동평,org:top_members/employees,1
9696,유니버설 스튜디오 / 칼 라밀리,org:founded_by,28
9697,한국수자원공사 / 이학수,org:top_members/employees,1
9698,메리츠화재 / 손해보험,no_relation,0
9699,유종필 / 전라남도 함평군,per:place_of_birth,26
9700,기획재정부 / 홍남기,org:top_members/employees,1
9701,사회당 / 사회민주주의,org:political/religious_affiliation,19
9702,패트릭 레이히 / 민주당,per:employee_of,6
9703,통합신당 / 손학규,org:top_members/employees,1
9704,한채영 / 바비인형,per:alternate_names,12
9705,옹성우 / 어머니,per:parents,21
9706,프랑크 리베리 / 피오렌티나,no_relation,0
9707,전라남도 / 장석웅,org:top_members/employees,1
9708,로버트 쿠비차 / 2006년 헝가리 그랑프리,no_relation,0
9709,알타아원 / 사우디 프로리그,org:member_of,20
9710,쿠로사와 토모요 / 1996년 4월 10일,per:date_of_birth,25
9711,포천시 / 박윤국,org:top_members/employees,1
9712,박제상 / 363년 419년,per:date_of_birth,25
9713,제임스 1세 / 스튜어트,per:employee_of,6
9714,새한당 / 정주영,no_relation,0
9715,이홍기 / FT아일랜드,per:employee_of,6
9716,신세계 / 정용진,org:top_members/employees,1
9717,사이슈나가 / 마가다 왕국,no_relation,0
9718,던밀스 / 황동현,per:alternate_names,12
9719,크리스틴 싱클레어 / 캐나다,per:origin,15
9720,곽태휘 / 센터백,per:title,4
9721,광주여대 / 이선재,org:top_members/employees,1
9722,동강대 / 이민숙,org:top_members/employees,1
9723,선우종원 / 박정희,no_relation,0
9724,울산 현대 / K리그1,org:member_of,20
9725,ISKO / 1989년,org:founded,18
9726,민주평통 / 대통령,org:member_of,20
9727,교황 코논 / 686년 10월 21일,no_relation,0
9728,인디애나 페이서스 / NBA,org:member_of,20
9729,NHK로부터 국민을 지키는 당 / 마루야마 호다카,org:top_members/employees,1
9730,사무드라굽타 / 굽타 제국,per:employee_of,6
9731,스파라딤 / 2005년,no_relation,0
9732,아이앤지넥스 FC / 내셔널리그,org:member_of,20
9733,신안군 / 박우량,org:top_members/employees,1
9734,오르후스 / 덴마크,org:place_of_headquarters,7
9735,삼성전자 / SSD,org:product,3
9736,박사모 / 정광용,org:top_members/employees,1
9737,이용상 / 화산 이씨,no_relation,0
9738,뉴스 코퍼레이션 / 루퍼트 머독,org:top_members/employees,1
9739,휴스턴 애스트로스 / 2019,no_relation,0
9740,진보신당 / 사회당,no_relation,0
9741,부산과학기술대학교 / 강기성,org:top_members/employees,1
9742,한국교통안전공단 / 국토교통부,no_relation,0
9743,에드워드 2세 / 에드워드 3세,per:children,10
9744,야드비가 / 1384년 10월 16일,no_relation,0
9745,최종현 / 1929년 11월 21일,per:date_of_birth,25
9746,남양유업 / 홍원식,org:top_members/employees,1
9747,쥘 베른 / 소설가,per:title,4
9748,비오 9세 / 요한 바오로 2세,per:colleagues,14
9749,김홍일 / 제15 16 17대 국회의원,per:title,4
9750,한국전력기술 / 한국전력공사,no_relation,0
9751,전희경 / 대변인,per:title,4
9752,숙녕궁주 / 순비 노씨,per:parents,21
9753,옹진군 / 해당화,no_relation,0
9754,맹산군 / 맹산읍,org:members,2
9755,미키스 테오도라키스 / 그리스,per:origin,15
9756,진도군 / 이동진,org:top_members/employees,1
9757,684부대 / 대한민국 공군,org:member_of,20
9758,하희라 / 최수종,no_relation,0
9759,US 방글라 항공 / 샤잘랄 국제공항,org:place_of_headquarters,7
9760,파주시 / 031 940 4533,no_relation,0
9761,아스널 FC / 프리미어리그,org:member_of,20
9762,문화체육관광부 / 박양우,org:top_members/employees,1
9763,시드니 FC / A리그,org:member_of,20
9764,망운중학교 / 이중구,org:top_members/employees,1
9765,버진 그룹 / 리처드 브랜슨,no_relation,0
9766,코라손 아키노 / 필리핀,per:origin,15
9767,유재중 / 자유한국당,per:employee_of,6
9768,도로교통공단 / 경찰청,no_relation,0
9769,원투고 항공 / 오리엔트 타이 항공,org:member_of,20
9770,안철수 / 국민의당,per:employee_of,6
9771,이노우에 마사루 / 유니버시티 칼리지 런던,per:schools_attended,23
9772,건륭제 / 가경제,per:children,10
9773,스웨덴 제국 / 핀란드,org:place_of_headquarters,7
9774,신한민주당 / 통일민주당,no_relation,0
9775,알베르트 아인슈타인 / 물리학자,per:title,4
9776,가락고등학교 / 서울특별시교육청,org:member_of,20
9777,조선인민군 / 김정은,org:top_members/employees,1
9778,한국과학기술정보연구원 / 과학기술정보통신부,no_relation,0
9779,대구도시철도공사 / 대구 도시철도,org:product,3
9780,장신영 / 강경준,per:spouse,17
9781,신천지예수교 증거장막성전 / 이만희,org:top_members/employees,1
9782,민주당 / 2016년,no_relation,0
9783,윤보선 / 공덕귀,per:spouse,17
9784,셀레우코스 1세 니카토르 / 안티오코스 1세,per:children,10
9785,샌프란시스코 자이언츠 / 2010,no_relation,0
9786,이승만 / 프란체스카 도너,no_relation,0
9787,이재용 / 삼성전자 부회장,per:title,4
9788,SPC그룹 / 허영인,org:top_members/employees,1
9789,나그흐마 / 1964년 1월 1일,per:date_of_birth,25
9790,랜스 암스트롱 / 사이클,no_relation,0
9791,김호길 / 무은재,per:alternate_names,12
9792,하응흠 / 국민당,no_relation,0
9793,에드워드 히스 / 보수당,no_relation,0
9794,곡성군 / 전라남도,org:member_of,20
9795,현대그룹 / 정주영,org:founded_by,28
9796,만수르 / 이슬람,no_relation,0
9797,마드리드 / 스페인,org:members,2
9798,장준하 / 정치인,per:title,4
9799,노도희 / 쇼트트랙,per:title,4
9800,샤를 6세 / 샤를 5세,no_relation,0
9801,벨라루스 / 민스크,org:place_of_headquarters,7
9802,마이크로닷 / 산체스,per:siblings,16
9803,에드나 크라버플 / 마샤 월리스,no_relation,0
9804,안여린 / 썬더스톰 야구단,per:employee_of,6
9805,광주대 / 김혁종,org:top_members/employees,1
9806,리처드 1세 / 제3차 십자군,no_relation,0
9807,타카미자와 이츠로 / 가면라이더,per:title,4
9808,무로마치 막부 / 아시카가,org:top_members/employees,1
9809,진도군청 / 진도개,no_relation,0
9810,로랑 블랑 / 프랑스,per:origin,15
9811,아우디 / 자동차,org:product,3
9812,호세 로드리게스 마르티네스 / 마카비 하이파,per:employee_of,6
9813,폴 매카트니 / 프로듀서,no_relation,0
9814,연남건 / 고구려,no_relation,0
9815,광주대학교 / 김혁종,org:top_members/employees,1
9816,통합신당 / 2007년 8월 5일,org:founded,18
9817,리스본 / 포르투갈,org:place_of_headquarters,7
9818,김재준 / 금재준,per:alternate_names,12
9819,나나 크리스티안센 / BK 스키올,per:employee_of,6
9820,빅터 엔터테인먼트 / JVC 켄우드,no_relation,0
9821,삼성 라이온즈 / 2006년,no_relation,0
9822,김서현 / 김유신,per:children,10
9823,히틀러 / 헤르만 괴링,per:colleagues,14
9824,헨리 5세 / 헨리 6세,per:children,10
9825,백선엽 / 정치인,no_relation,0
9826,리카르도 라틀리프 / KBL,per:employee_of,6
9827,월트 디즈니 / 텔레비전,no_relation,0
9828,로드리 / 아틀레티코 마드리드,no_relation,0
9829,공무원연금공단 / 정남준,org:top_members/employees,1
9830,문재인 / 대한민국,per:employee_of,6
9831,우원식 / 더불어민주당,per:employee_of,6
9832,부산광역시교육청 / 김석준,org:top_members/employees,1
9833,금동현 / C9 엔터테인먼트,per:employee_of,6
9834,헨리 6세 / 헨리 5세,per:parents,21
9835,동국제약 / 동국생명과학,org:members,2
9836,감바 오사카 / 2009,no_relation,0
9837,디나모 키예프 / 우크라이나 프리미어리그,per:employee_of,6
9838,고흥군 / 송귀근,org:top_members/employees,1
9839,UEFA / 유럽 축구 연맹,org:alternate_names,5
9840,이춘재 / 부산교도소,no_relation,0
9841,민주노동당 / 통합진보당,org:alternate_names,5
9842,신문왕 / 효소왕,per:children,10
9843,벤틀리 / 자동차,org:product,3
9844,국제형사재판소 / 네덜란드 헤이그,org:place_of_headquarters,7
9845,전남공고 / 박주정,org:top_members/employees,1
9846,우디네세 칼초 / 세리에 A,org:member_of,20
9847,국제 아이스 하키 연맹 / IIHF,org:alternate_names,5
9848,김도읍 / 자유한국당,per:employee_of,6
9849,아랍 연맹 / 시리아,org:members,2
9850,부안군 / 권익현,org:top_members/employees,1
9851,예루살렘 히브리 대학 / 이스라엘,org:place_of_headquarters,7
9852,애플 레코드 / 비틀즈,org:founded_by,28
9853,유타 재즈 / NBA,org:member_of,20
9854,아이유 / 보라색,no_relation,0
9855,광주광역시 / 이용섭,org:top_members/employees,1
9856,텍사스 레인저스 / 1998,no_relation,0
9857,여수시 / 현암도서관,org:place_of_headquarters,7
9858,CNN / 앤더슨 쿠퍼 360 ,org:product,3
9859,이아페투스 / 1671년 10월 25일,no_relation,0
9860,이용빈 / 광산갑,no_relation,0
9861,주시은 / 아나운서,per:title,4
9862,한국석유공사 / 산업통상자원부,no_relation,0
9863,민주당 / 신민당,no_relation,0
9864,최형우 / 좌익수,per:title,4
9865,바이런 / 낭만주의,no_relation,0
9866,김하성 / 유격수,no_relation,0
9867,프랭크 램파드 / Frank James Lampard,per:alternate_names,12
9868,안영학 / 일본 오카야마현 구라시키시,per:place_of_birth,26
9869,베스파시아누스 / 티투스,no_relation,0
9870,김수민 / 비례대표,per:title,4
9871,대안신당 / 최경환,org:top_members/employees,1
9872,최명길 / 원내대변인,per:title,4
9873,사이타마 세이부 라이온스 / 퍼시픽 리그,org:member_of,20
9874,브라질 / 상파울루,no_relation,0
9875,프랭크 로빈슨 / 2019년 2월 7일,per:date_of_death,24
9876,베네딕토 16세 / 신앙교리성 장관,no_relation,0
9877,손병석 / 한국철도공사 사장,per:title,4
9878,로켓단 / 비주기,org:top_members/employees,1
9879,루이스 펠리피 스콜라리가 / UEFA,no_relation,0
9880,존 리드 하지 / 미국 육군,per:title,4
9881,K리그 / AFC 챔피언스리그,no_relation,0
9882,전략사무국 / 미국 합참의장,org:member_of,20
9883,문석구 / 이동휘,per:alternate_names,12
9884,대한체육회 / 대한민국,org:place_of_headquarters,7
9885,민주노동당 / 통합진보당,no_relation,0
9886,충목왕 / 충혜왕,no_relation,0
9887,화비 홍씨 / 충혜왕,per:spouse,17
9888,유은혜 / 교육부,per:employee_of,6
9889,바이오웨어 / 일렉트로닉 아츠,no_relation,0
9890,화순군 / 구충곤,org:top_members/employees,1
9891,박남춘 / 인천광역시장,per:employee_of,6
9892,AKB48 / AKS,org:member_of,20
9893,이후락 / 국방부,per:employee_of,6
9894,한국관광공사 / 문화체육관광부,no_relation,0
9895,김복동 / 인권운동가,per:title,4
9896,광주비엔날레 / 문화예술,no_relation,0
9897,김정은 / 2019년,no_relation,0
9898,에밀 랑 / 1909년 1월 14일,no_relation,0
9899,세르비아 크라이나 / 공화국,no_relation,0
9900,김건모 / 장지연,per:spouse,17
9901,기획재정부 / 2008년 2월 29일,org:founded,18
9902,박수범 / 프로토스,no_relation,0
9903,폐빈 박씨 / 1598년,per:date_of_birth,25
9904,이대수 / 3루수,no_relation,0
9905,안양 KGC인삼공사 / 경기도 안양시,org:place_of_headquarters,7
9906,BNK금융지주 / 김지완,org:top_members/employees,1
9907,현대전자 / 반도체,no_relation,0
9908,양주시 / 이성호,org:top_members/employees,1
9909,파리 생제르맹 / 리그 1,org:member_of,20
9910,국제축구연맹 / FIFA,org:alternate_names,5
9911,자유민주당 / 닉 클레그,org:top_members/employees,1
9912,FC 인테르나치오날레 밀라노 / 2010,no_relation,0
9913,블라디미르 1세 / 스뱌토폴크 1세,no_relation,0
9914,군산시 / 강임준,org:top_members/employees,1
9915,발렌시아가 / 프랑스 파리,no_relation,0
9916,하나로텔레콤 / SK텔레콤,org:member_of,20
9917,안호영 / 제20대 국회의원,per:title,4
9918,ETH 취리히 / 스위스,org:place_of_headquarters,7
9919,뉴욕 양키스 / 볼티모어 오리올스,no_relation,0
9920,기획재정부 / 홍남기,org:top_members/employees,1
9921,교황 안테로 / 235년 11월 21일,no_relation,0
9922,주한독일문화원 / Goethe Institut,org:alternate_names,5
9923,2NE1 / YG 엔터테인먼트,per:employee_of,6
9924,한국남동발전 / 유향열,org:top_members/employees,1
9925,슬리피 / 김성원,per:alternate_names,12
9926,경성부 / 1925년,no_relation,0
9927,캐나다 / 토론토,org:members,2
9928,정태욱 / 수비수,per:title,4
9929,한국고용정보원 / 고용노동부,no_relation,0
9930,법원행정처 / 대법원,org:member_of,20
9931,이집트 / 카이로,org:members,2
9932,미래통합당 / 미래한국당,no_relation,0
9933,추혜선 / 정의당,per:employee_of,6
9934,이돈태 / 기업인,per:title,4
9935,제이홉 / 방탄소년단,per:employee_of,6
9936,민족청년단 / 이범석,org:top_members/employees,1
9937,휴스턴 애스트로스 / 2017,no_relation,0
9938,한국수력원자력 / 정재훈,org:top_members/employees,1
9939,최영조 / 경산시장,per:title,4
9940,국민의당 / 안철수,org:top_members/employees,1
9941,마이클 조던 / NBA,per:employee_of,6
9942,아프리카 민족회의 / ANC,org:alternate_names,5
9943,알바로 데 루나 / 후안 2세,per:colleagues,14
9944,청나라 / 만주족,org:top_members/employees,1
9945,조소카베 가문 / 장종아부씨,org:alternate_names,5
9946,김창룡 / 1956년 1월 30일,per:date_of_death,24
9947,국민의당 / 안철수,org:founded_by,28
9948,엘레우시스 / 그리스,no_relation,0
9949,뉴욕 양키스 / 에런 분,org:top_members/employees,1
9950,모태범 / 스피드 스케이팅,no_relation,0
9951,심순택 / 대한제국,no_relation,0
9952,프리메라 디비시온 페메니나 / 스페인,org:place_of_headquarters,7
9953,질병관리본부 / 정은경,org:top_members/employees,1
9954,안드레스 이니에스타 / 스페인,per:origin,15
9955,AFC 아약스 / 2013,no_relation,0
9956,보드리야르 / 프랑스,per:origin,15
9957,러시아 차르국 / 러시아인,org:top_members/employees,1
9958,앙리 3세 / 발루아 왕가,per:employee_of,6
9959,정미수 / 경혜공주,per:parents,21
9960,광주시 / 경기도,no_relation,0
9961,맘루크 왕조 / 오스만 제국,no_relation,0
9962,김재박 / 유격수,per:title,4
9963,경주 한국수력원자력 / 내셔널리그,org:member_of,20
9964,람보르기니 / 아우디 AG,org:member_of,20
9965,후지와라 씨 / 등원씨,org:alternate_names,5
9966,노회찬 / 정의당,per:employee_of,6
9967,챌린저스리그 / FA컵,no_relation,0
9968,의열단 / 김원봉,org:top_members/employees,1
9969,에니올라 알루코 / 버밍엄 시티,per:employee_of,6
9970,50사단 / 제2작전사령부,org:member_of,20
9971,빈지노 / 재지팩트,per:employee_of,6
9972,김대중 / 1987년,no_relation,0
9973,앰버 허드 / 조니 뎁,no_relation,0
9974,박남춘 / 인천광역시,per:employee_of,6
9975,AK플라자 / 갤러리아 백화점,no_relation,0
9976,문화유산국민신탁 / 김종규,org:top_members/employees,1
9977,민희진 / 빅히트 엔터테인먼트,per:employee_of,6
9978,포천시 / 박윤국,org:top_members/employees,1
9979,호한야 선우 / 기원전 31년,per:date_of_death,24
9980,벤틀리 / 자동차,no_relation,0
9981,정의용 / 국가안보실장,per:title,4
9982,구자철 / 마인츠 05,per:employee_of,6
9983,테워드로스 아드하놈 거브러여수스 / WHO 사무총장,per:title,4
9984,이정미 / 당대표,per:title,4
9985,고닌 천황 / 쇼토쿠 천황,no_relation,0
9986,남우현 / 인피니트,per:employee_of,6
9987,젝스키스 / 고지용,no_relation,0
9988,GS25 / GS리테일,org:member_of,20
9989,한화건설 / 최광호,org:top_members/employees,1
9990,고인규 / Canata YG ,per:alternate_names,12
9991,문희상 / 더불어민주당,no_relation,0
9992,기독교방송 / CBS,org:alternate_names,5
9993,오토 1세 / 오토 2세,per:children,10
9994,상하이 선화 / 베이징 궈안,no_relation,0
9995,강경준 / 장신영,per:spouse,17
9996,원종서 / 1987년 8월 22일,per:date_of_birth,25
9997,강다니엘 / 워너원,per:employee_of,6
9998,유니클로 / 패스트 리테일링,org:member_of,20
9999,유영하 / 변호사,per:title,4
10000,조소앙 / 정치인,no_relation,0
10001,자유공화당 / 조원진,org:top_members/employees,1
10002,질병관리본부 / 보건복지부,no_relation,0
10003,애슐리 콜 / 아스널,per:employee_of,6
10004,메리 불린 / 앤 불린,per:siblings,16
10005,비틀즈 / 대중음악,no_relation,0
10006,그라임스 / 캐나다,no_relation,0
10007,더불어민주당 / 새정치민주연합,org:alternate_names,5
10008,에든버러 / 스코틀랜드,org:place_of_headquarters,7
10009,분데스리가 / UEFA,no_relation,0
10010,이동녕 / 대한민국 임시정부,per:employee_of,6
10011,자크 디미에 / 파리 대학교,per:schools_attended,23
10012,이휘재 / 문정원,per:spouse,17
10013,피터 힉스 / 힉스 메커니즘,per:product,8
10014,한국민주당 / 한민당,org:alternate_names,5
10015,사회당 / 2012년 3월 4일,no_relation,0
10016,영암군 / 전동평,org:top_members/employees,1
10017,바티칸 / 프란치스코,org:top_members/employees,1
10018,다이쇼 천황 / 메이지 천황,per:alternate_names,12
10019,조제프루이 라그랑주 / 레온하르트 오일러,per:colleagues,14
10020,최원식 / 국민의당,per:employee_of,6
10021,광주대학교 / 김혁종,org:top_members/employees,1
10022,올림픽 / 1896,org:founded,18
10023,문정현 / 천주교,per:religion,29
10024,코웨이 / 넷마블,no_relation,0
10025,HERA / 아모레퍼시픽,org:member_of,20
10026,베르나르두 실바 / 맨체스터 시티,per:employee_of,6
10027,안정환 / 방송인,per:title,4
10028,클레오메네스 3세 / 스파르타,per:origin,15
10029,마누엘 케손 / 필리핀 독립 사절단,per:employee_of,6
10030,베텔게우스 / 오리온자리,no_relation,0
10031,애틀랜타 브레이브스 / 1995,no_relation,0
10032,알베르토 아스카리 / Alberto Ascari,per:alternate_names,12
10033,제7보병사단 / 제1(I)군단,org:member_of,20
10034,화순군 / 구충곤,org:top_members/employees,1
10035,신천지예수교 증거장막성전 / 대한민국,no_relation,0
10036,해남군 / 명현관,org:top_members/employees,1
10037,우리은행 / 손태승,org:top_members/employees,1
10038,언터쳐블 / TS 엔터테인먼트,no_relation,0
10039,수원 FC / K리그 챌린지,no_relation,0
10040,유스티니아누스 / 콘스탄티노폴리스,no_relation,0
10041,다리우스 1세 / 크세르크세스 1세,per:children,10
10042,김영삼 / 1993년,no_relation,0
10043,신세계 / 이마트,org:members,2
10044,설하윤 / 너의 목소리가 보여,no_relation,0
10045,서인영 / 쥬얼리,per:employee_of,6
10046,요시다 요시오 / 1992년,no_relation,0
10047,고켄 천황 / 고닌 천황,no_relation,0
10048,헨리 7세 / 헨리 튜더,per:alternate_names,12
10049,류여해 / 경상남도 진해시,per:place_of_birth,26
10050,강영훈 / 노태우,per:colleagues,14
10051,김강훈 / 아역배우,per:title,4
10052,크리스티안 겐트너 / 1985년 8월 14일,per:date_of_birth,25
10053,마이크로닷 / 신재호,per:alternate_names,12
10054,만주군 / 만주국,org:place_of_headquarters,7
10055,헨리 5세 / 헨리 6세,per:children,10
10056,김기창 / 동양화,per:product,8
10057,윤치영 / 이승만,per:colleagues,14
10058,황보 림 / 1333년,per:date_of_birth,25
10059,방상훈 / 1948년 2월 6일,per:date_of_birth,25
10060,유엔난민기구 / 스위스 제네바,org:place_of_headquarters,7
10061,김연아 / 대한민국,per:origin,15
10062,광주고속 / 금호건설,org:members,2
10063,전국민주노동조합총연맹 / 민주노총,org:alternate_names,5
10064,히사이시 조 / 피아노,no_relation,0
10065,앤서니 키에디스 / 레드 핫 칠리 페퍼스,per:employee_of,6
10066,김영삼 / 김현철,per:children,10
10067,박정희 / 1979년 10월 26일,per:date_of_death,24
10068,유재석 / 나경은,per:spouse,17
10069,러시아 / 모스크바,org:members,2
10070,나경원 / 자유한국당,per:employee_of,6
10071,아담 미츠키에비치 / 폴란드어,no_relation,0
10072,구미시 / 장세용,org:top_members/employees,1
10073,에드워드 2세 / 에드워드 3세,per:children,10
10074,고종후 / 1593년,no_relation,0
10075,나치 독일 / 대통령,no_relation,0
10076,"바르셀로나 / 94,000명",no_relation,0
10077,문화방송 / MBC,org:alternate_names,5
10078,조케이 / 1343년,per:date_of_birth,25
10079,계원예술대 / 송수근,org:top_members/employees,1
10080,공수학교 / 미국 육군,no_relation,0
10081,요한 바오로 2세 / 베네딕토 16세,no_relation,0
10082,의정부시 / 안병용,org:top_members/employees,1
